CT,TPAD,TPAN,TPAN2,TWAD,TWAN,TWAN2,TMAD,TMAN,TMAN2
561900,1162,384,301,683,240,188,479,144,113
562000,836,223,191,441,136,112,395,87,79
562300,1837,453,392,1064,273,226,773,180,166
562400,1469,391,308,840,238,185,629,153,123
562500,1683,342,300,963,192,170,720,150,130
562600,1452,307,256,771,162,129,681,145,127
562700,739,133,122,420,64,60,319,69,62
562800,720,222,197,389,129,116,331,93,81
562900,1035,235,197,586,136,111,449,99,86
563000,1423,378,300,818,220,171,605,158,129
563100,1988,479,379,1057,253,199,931,226,180
563200,1046,248,228,526,128,122,520,120,106
563300,897,148,124,468,66,60,429,82,64
563800,1906,533,443,1024,281,228,882,252,215
563900,2135,591,476,1194,317,247,941,274,229
564000,1814,405,293,984,210,146,830,195,147
564100,527,133,112,266,65,54,261,68,58
564200,1054,367,283,575,212,166,479,155,117
564400,3148,985,772,1739,533,427,1409,452,345
564500,932,237,177,512,140,96,420,97,81
60300,1158,268,234,595,153,126,563,115,108
60500,724,160,134,382,75,63,342,85,71
70300,830,122,89,420,51,35,410,71,54
70500,936,113,99,476,58,52,460,55,47
70600,861,138,97,490,72,50,371,66,47
70800,706,94,74,379,46,36,327,48,38
70900,1434,226,156,767,106,68,667,120,88
80200,812,195,164,448,109,98,364,86,66
80400,567,105,79,290,57,44,277,48,35
80600,890,132,110,456,67,56,434,65,54
80700,601,68,50,324,29,26,277,39,24
80900,816,161,134,448,88,70,368,73,64
90100,909,198,172,476,111,93,433,87,79
90200,1240,340,272,704,202,163,536,138,109
90300,767,189,163,419,104,93,348,85,70
980000,4,1,1,3,1,1,1,0,0
980100,8,0,0,7,0,0,1,0,0
980700,10,0,0,5,0,0,5,0,0
